name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;662;0;851;3141;1322;3141;1298;0
header;201;120;201;159;1817;159;1817;120
A;942;184;942;184;943;184;943;184
A;997;188;997;215;1017;215;1017;188
D;742;670;742;689;760;689;760;670
B;998;859;998;886;1020;886;1020;859
A;1241;937;1241;937;1241;937;1241;937
C;998;1530;998;1560;1018;1560;1018;1530
B;807;1803;807;1822;826;1822;826;1803
D;1004;2206;1004;2232;1026;2232;1026;2206
B;831;2489;831;2507;848;2507;848;2489
A;1051;2536;1051;2547;1063;2547;1063;2536
