name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;338;0;409;3137;1091;3137;1091;0
header;261;160;261;191;1891;191;1891;160
A;1060;227;1060;254;1082;254;1082;227
B;384;859;384;877;418;877;418;859
B;1054;899;1054;926;1074;926;1074;899
B;568;1133;568;1151;600;1151;600;1133
C;1052;1571;1052;1599;1072;1599;1072;1571
B;936;1580;936;1599;950;1599;950;1580
A;1042;2249;1042;2253;1077;2253;1077;2249
A;993;2371;993;2372;995;2372;995;2371
A;1052;2655;1052;2659;1087;2659;1087;2655
D;1054;2700;1054;2727;1076;2727;1076;2700
